Data Series,2010 Jan ,2010 Feb ,2010 Mar ,2010 Apr ,2010 May ,2010 Jun ,2010 Jul ,2010 Aug ,2010 Sep ,2010 Oct ,2010 Nov ,2010 Dec ,2011 Jan ,2011 Feb ,2011 Mar ,2011 Apr ,2011 May ,2011 Jun ,2011 Jul ,2011 Aug ,2011 Sep ,2011 Oct ,2011 Nov ,2011 Dec ,2012 Jan ,2012 Feb ,2012 Mar ,2012 Apr ,2012 May ,2012 Jun ,2012 Jul ,2012 Aug ,2012 Sep ,2012 Oct ,2012 Nov ,2012 Dec ,2013 Jan ,2013 Feb ,2013 Mar ,2013 Apr ,2013 May ,2013 Jun ,2013 Jul ,2013 Aug ,2013 Sep ,2013 Oct ,2013 Nov ,2013 Dec ,2014 Jan ,2014 Feb ,2014 Mar ,2014 Apr ,2014 May ,2014 Jun ,2014 Jul ,2014 Aug ,2014 Sep ,2014 Oct ,2014 Nov ,2014 Dec ,2015 Jan ,2015 Feb ,2015 Mar ,2015 Apr ,2015 May ,2015 Jun ,2015 Jul ,2015 Aug ,2015 Sep ,2015 Oct ,2015 Nov ,2015 Dec ,2016 Jan ,2016 Feb ,2016 Mar ,2016 Apr ,2016 May ,2016 Jun ,2016 Jul ,2016 Aug ,2016 Sep ,2016 Oct ,2016 Nov ,2016 Dec ,2017 Jan ,2017 Feb ,2017 Mar ,2017 Apr ,2017 May ,2017 Jun ,2017 Jul ,2017 Aug ,2017 Sep ,2017 Oct ,2017 Nov ,2017 Dec ,2018 Jan ,2018 Feb ,2018 Mar ,2018 Apr ,2018 May ,2018 Jun ,2018 Jul ,2018 Aug ,2018 Sep ,2018 Oct ,2018 Nov ,2018 Dec ,2019 Jan ,2019 Feb ,2019 Mar ,2019 Apr ,2019 May ,2019 Jun ,2019 Jul ,2019 Aug ,2019 Sep ,2019 Oct ,2019 Nov ,2019 Dec 
Total Casualties Fatalities,18,7,23,19,18,17,16,20,14,13,14,14,20,15,17,16,15,16,19,19,15,19,12,12,17,17,15,15,11,10,9,15,11,15,14,19,19,19,14,10,13,17,11,13,7,9,16,12,15,18,12,13,20,11,12,9,17,11,7,10,12,14,12,15,7,16,12,12,12,14,14,11,13,8,10,13,11,11,16,12,8,15,11,13,8,11,9,10,13,9,7,16,11,3,15,9,10,12,6,12,9,11,11,9,9,13,8,14,8,9,13,12,6,11,9,4,10,9,15,12
  Pedestrians,5,3,9,9,4,3,5,4,3,3,3,4,5,5,5,2,2,4,3,7,5,3,5,3,4,2,6,6,0,5,1,3,3,7,4,3,5,5,3,2,1,4,1,6,1,2,7,6,2,3,3,2,5,4,4,3,5,6,5,3,5,2,3,5,1,5,4,3,4,3,5,3,2,4,6,4,4,6,4,0,3,6,3,5,3,4,2,6,4,0,0,7,4,1,6,4,3,4,2,5,3,3,5,0,4,1,6,3,4,3,3,5,2,4,1,3,3,3,4,4
  Cyclists & Pillions,2,0,2,0,3,1,1,3,1,1,1,1,2,2,2,1,1,0,0,2,3,1,1,0,4,1,2,1,3,0,1,2,0,0,1,1,3,1,0,0,4,1,1,0,0,0,3,2,1,2,2,2,2,2,2,1,1,0,0,0,2,3,1,1,1,2,1,0,2,1,1,2,2,0,0,0,1,1,3,5,1,5,2,0,1,2,0,0,2,3,1,1,1,2,2,0,0,1,1,1,1,1,0,1,0,1,0,2,1,0,0,1,0,0,0,1,0,1,4,0
  Motor Cyclists & Pillion Riders,10,4,9,9,7,10,6,11,7,6,6,4,11,7,9,9,8,9,12,9,6,9,4,6,8,11,5,6,2,2,5,8,5,7,6,11,5,10,5,4,8,10,4,7,6,5,5,4,9,11,4,7,11,5,4,3,8,4,2,6,3,8,8,7,3,7,6,7,6,7,6,4,7,3,4,9,5,3,8,6,2,3,5,7,4,4,6,2,4,4,4,4,5,0,4,3,7,5,3,2,4,7,6,5,5,7,2,8,3,4,10,5,4,6,8,0,7,4,6,7
  Motor Cars And Station Wagons,0,0,0,0,2,0,2,1,2,3,2,2,0,0,0,2,4,3,1,0,0,3,0,2,0,0,0,2,5,1,1,1,0,0,1,3,4,2,3,2,0,1,2,0,0,2,0,0,2,1,2,0,2,0,0,2,2,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,2,1,1,0,0,2,0,1,0,3,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
  Goods Vans,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Pick-Ups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Lorries,0,0,2,1,1,3,0,0,0,0,1,1,2,1,1,2,0,0,3,0,0,2,2,1,1,1,1,0,1,2,1,0,0,0,1,1,1,1,3,2,0,1,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
  Tipper Trucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
  Trailers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
